City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
83,skagen,57.7209,10.5839,47.61,78,3,17.85,DK,1650681058
84,kedrovyy,56.1667,91.8167,21.87,64,100,12.33,RU,1650681059
85,puerto ayora,-0.7393,-90.3518,72.18,93,12,5.97,EC,1650681059
86,sao sebastiao,-23.76,-45.4097,71.98,82,0,5.68,BR,1650681059
87,kodiak,57.79,-152.4072,42.31,81,100,13.8,US,1650681060
88,nishihara,26.1842,127.7558,80.26,89,100,18.41,JP,1650681060
89,birstonas,54.6167,24.0333,46.53,93,100,5.7,LT,1650681061
90,narsaq,60.9167,-46.05,41.22,98,100,3.36,GL,1650681061
91,ribeira grande,38.5167,-28.7,58.12,72,97,15.37,PT,1650681061
92,hithadhoo,-0.6,73.0833,84.16,74,100,10.4,MV,1650681062
93,karacabey,40.2152,28.4038,57.58,66,100,4.41,TR,1650680942
94,luwuk,-0.9516,122.7875,85.06,76,86,1.59,ID,1650681062
95,puerto escondido,15.85,-97.0667,83.23,74,75,5.75,MX,1650681063
96,vila,42.0304,-8.1588,36.48,93,100,3.33,PT,1650681063
97,bahia honda,22.9036,-83.1592,75.24,81,53,16.04,CU,1650681063
98,viedma,-40.8135,-62.9967,52.25,51,80,16.96,AR,1650681064
99,codrington,-38.2667,141.9667,62.74,55,27,13.71,AU,1650681064
100,naze,28.3667,129.4833,72.52,80,100,14.25,JP,1650681064
101,meulaboh,4.1363,96.1285,83.14,80,97,1.21,ID,1650681065
102,half moon bay,37.4636,-122.4286,59.32,77,40,23.02,US,1650681016
103,margate,51.3813,1.3862,53.31,80,97,4.0,GB,1650681050
104,kannur,11.8675,75.3576,82.81,80,100,3.47,IN,1650681065
105,kristiinankaupunki,62.2743,21.376,36.86,87,7,11.77,FI,1650681066
106,ozu,33.5,132.55,69.19,66,97,4.29,JP,1650681066
107,kiunga,-6.1219,141.2906,84.49,76,98,2.51,PG,1650681066
108,qaqortoq,60.7167,-46.0333,34.36,98,100,2.8,GL,1650680952
109,mercedes,-34.6515,-59.4307,49.03,64,0,6.85,AR,1650680840
110,aranos,-24.1333,19.1167,61.23,56,2,10.22,NA,1650681067
111,east london,-33.0153,27.9116,62.85,85,100,6.71,ZA,1650681067
112,anloga,5.7947,0.8973,81.07,80,57,10.0,GH,1650681068
113,dong hoi,17.4833,106.6,86.41,66,18,5.41,VN,1650681068
114,rawson,-43.3002,-65.1023,56.16,55,100,21.52,AR,1650681068
115,novikovo,51.1537,37.8879,43.54,85,81,1.32,RU,1650681069
116,barrow,71.2906,-156.7887,15.82,86,100,8.05,US,1650680972
117,mapiripan,2.8892,-72.1256,73.81,90,98,3.11,CO,1650681069
118,poronaysk,49.2167,143.1167,35.01,99,100,15.3,RU,1650681070
119,olbia,40.9214,9.4856,50.05,87,0,3.44,IT,1650681070
120,qaanaaq,77.484,-69.3632,1.31,94,100,2.13,GL,1650681070
121,mulki,13.1,74.8,78.08,83,75,4.61,IN,1650681071
122,iqaluit,63.7506,-68.5145,4.73,78,0,11.5,CA,1650681071
123,sandwick,60.0,-1.25,44.42,87,100,26.46,GB,1650681072
124,katsuura,35.1333,140.3,70.63,65,99,18.61,JP,1650681072
125,pevek,69.7008,170.3133,16.47,90,96,4.59,RU,1650681072
126,geraldton,-28.7667,114.6,77.41,33,0,23.02,AU,1650681073
127,cabo san lucas,22.8909,-109.9124,80.91,52,0,8.05,MX,1650680959
128,san patricio,28.017,-97.5169,75.83,86,18,17.38,US,1650681073
129,portland,45.5234,-122.6762,59.04,72,75,5.75,US,1650681017
130,dudinka,69.4058,86.1778,6.22,93,69,5.06,RU,1650681074
131,guerrero negro,27.9769,-114.0611,60.19,80,0,21.07,MX,1650681061
132,onega,63.9061,38.1404,31.24,91,100,8.77,RU,1650681074
133,longyearbyen,78.2186,15.6401,17.44,79,40,3.44,SJ,1650681075
134,airai,-8.9266,125.4092,74.17,47,66,4.07,TL,1650680864
135,alcaniz,41.05,-0.1333,52.81,74,100,3.71,ES,1650681075
136,sotnikovo,51.8845,107.4791,42.89,52,100,4.47,RU,1650681075
137,aykhal,66.0,111.5,15.08,82,100,7.99,RU,1650681076
138,jiexiu,37.0244,111.9125,75.58,20,0,11.79,CN,1650681076
139,price,39.5994,-110.8107,41.11,93,75,3.44,US,1650680929
140,hongjiang,27.11,109.9956,78.85,77,85,1.54,CN,1650681077
141,miri,4.4148,114.0089,87.94,74,20,3.44,MY,1650681077
142,vaitape,-16.5167,-151.75,79.38,75,66,4.76,PF,1650681077
143,tuktoyaktuk,69.4541,-133.0374,23.0,63,20,17.27,CA,1650681078
144,barranca,-10.75,-77.7667,66.42,88,98,5.75,PE,1650681078
145,saint-louis,16.3333,-15.0,83.62,18,32,16.46,SN,1650681079
146,kyritz,52.9421,12.397,39.09,91,0,7.27,DE,1650681079
147,henties bay,-22.116,14.2845,60.85,89,0,5.88,NA,1650681079
148,yerbogachen,61.2767,108.0108,28.22,59,34,6.64,RU,1650681080
149,tilichiki,60.4667,166.1,27.91,85,97,2.71,RU,1650681080
150,port alfred,-33.5906,26.891,58.17,96,100,1.01,ZA,1650681080
151,tasiilaq,65.6145,-37.6368,30.36,93,100,3.38,GL,1650681081
152,aguilas,37.4063,-1.5829,59.86,75,19,21.68,ES,1650681081
153,calabozo,8.9242,-67.4293,84.51,54,97,3.65,VE,1650681081
154,pangnirtung,66.1451,-65.7125,0.75,85,22,6.89,CA,1650681082
155,dargaville,-35.9333,173.8833,64.53,61,48,10.69,NZ,1650681082
156,pathein,16.7833,94.7333,93.09,41,4,10.49,MM,1650681083
157,avarua,-21.2078,-159.775,78.85,78,20,18.41,CK,1650681083
158,smirnykh,49.75,142.8333,34.99,97,100,12.68,RU,1650681083
159,birjand,32.8663,59.2211,66.67,26,75,0.0,IR,1650681084
160,hambantota,6.1241,81.1185,80.94,83,20,5.75,LK,1650681084
161,lashio,22.9333,97.75,87.37,35,23,2.75,MM,1650681084
162,khatanga,71.9667,102.5,11.64,86,81,7.94,RU,1650681085
163,okha,53.5739,142.9478,30.6,87,100,15.17,RU,1650681085
164,strezhevoy,60.7333,77.5889,17.08,90,100,14.7,RU,1650681085
165,vestmannaeyjar,63.4427,-20.2734,45.63,88,15,6.11,IS,1650681086
166,buraydah,26.326,43.975,75.65,29,100,9.46,SA,1650681086
167,nouadhibou,20.931,-17.0347,64.38,77,0,16.11,MR,1650681086
168,labuhan,-6.8844,112.2051,85.96,71,22,6.51,ID,1650681087
169,namibe,-15.1961,12.1522,71.71,81,88,5.19,AO,1650681087
170,caceres,39.522,-6.3748,43.93,91,100,14.18,ES,1650681088
171,alexandria,31.2156,29.9553,53.56,82,0,5.75,EG,1650681088
172,lakatoro,-16.0999,167.4164,82.09,77,84,11.48,VU,1650681088
173,mushie,-3.0167,16.9,72.72,96,100,1.95,CD,1650681089
174,nanortalik,60.1432,-45.2371,35.04,99,100,5.37,GL,1650681089
175,rodniki,57.1051,41.7305,40.71,78,9,4.05,RU,1650681089
176,leningradskiy,69.3833,178.4167,21.87,91,95,3.85,RU,1650681090
177,inirida,3.8653,-67.9239,73.15,95,80,2.98,CO,1650681090
178,shelburne,44.0787,-80.2041,43.59,59,100,4.92,CA,1650681017
179,podgornoye,51.735,39.1496,34.02,100,98,6.71,RU,1650681091
180,penzance,50.1186,-5.5371,48.88,82,59,17.34,GB,1650681091
181,ritchie,-29.038,24.6028,60.01,82,23,6.24,ZA,1650681091
182,chimbote,-9.0853,-78.5783,66.15,89,99,5.55,PE,1650681092
183,esperance,-33.8667,121.9,66.04,62,15,13.85,AU,1650681092
184,colchester,51.8892,0.9042,52.74,81,76,15.77,GB,1650681093
185,dingle,10.9995,122.6711,87.82,62,37,10.96,PH,1650681093
186,ahipara,-35.1667,173.1667,64.47,64,27,14.12,NZ,1650681093
187,kahului,20.8947,-156.47,78.82,73,40,18.41,US,1650681094
188,vostok,46.4856,135.8833,42.1,68,51,10.11,RU,1650681094
189,korla,41.7597,86.1469,72.45,15,11,6.11,CN,1650681094
190,turukhansk,65.8167,87.9833,32.59,98,95,3.42,RU,1650681095
191,panama city,8.9936,-79.5197,82.35,82,40,5.75,PA,1650681068
192,gizycko,54.0381,21.7644,39.7,93,60,8.55,PL,1650681095
193,quelimane,-17.8786,36.8883,71.96,96,20,3.13,MZ,1650681095
194,livingston,55.9029,-3.5226,45.21,90,20,8.05,GB,1650681096
195,yellowknife,62.456,-114.3525,39.72,52,20,13.8,CA,1650681040
196,marzuq,14.4,46.4667,69.19,43,64,4.25,YE,1650681096
197,yar-sale,66.8333,70.8333,2.19,93,100,8.43,RU,1650681097
198,belyy yar,53.6039,91.3903,34.86,49,0,13.42,RU,1650681097
199,sao luiz gonzaga,-28.4083,-54.9608,63.57,97,100,6.26,BR,1650681098
200,ariquemes,-9.9133,-63.0408,72.52,98,95,1.23,BR,1650681098
201,timra,62.487,17.3257,37.08,75,100,8.05,SE,1650681098
202,suhbaatar,50.2314,106.2078,49.37,30,61,9.82,MN,1650681099
203,cayenne,4.9333,-52.3333,77.09,1,100,0.0,GF,1650681099
204,oussouye,12.485,-16.5469,72.97,68,27,8.48,SN,1650681099
205,saint-philippe,-21.3585,55.7679,76.59,78,75,14.03,RE,1650681100
206,upernavik,72.7868,-56.1549,-1.75,99,61,4.43,GL,1650681100
207,joshimath,30.5667,79.5667,66.15,30,0,1.68,IN,1650681101
208,luanda,-8.8368,13.2343,77.0,94,75,4.61,AO,1650681101
209,koumac,-20.5667,164.2833,78.28,71,93,8.52,NC,1650681101
210,severo-yeniseyskiy,60.3725,93.0408,22.48,86,100,7.49,RU,1650681102
211,uyuni,-20.4597,-66.825,42.94,18,0,9.95,BO,1650681102
212,north las vegas,36.1989,-115.1175,65.8,34,0,17.27,US,1650680943
213,durango,24.8333,-104.8333,72.46,21,47,17.58,MX,1650680940
214,isangel,-19.55,169.2667,81.77,60,36,11.39,VU,1650681103
215,port washington,40.8257,-73.6982,61.0,44,75,11.5,US,1650681103
216,san jeronimo,-11.9472,-75.2829,47.88,85,92,1.83,PE,1650681103
217,lethem,3.3803,-59.7968,76.87,80,96,6.02,GY,1650681104
218,sao filipe,14.8961,-24.4956,72.3,80,57,3.04,CV,1650681104
219,iquitos,-3.7481,-73.2472,75.24,100,0,2.3,PE,1650681104
220,kurumkan,54.3,110.3,39.72,36,74,1.03,RU,1650681105
221,pareora,-44.4871,171.2132,62.19,64,3,5.66,NZ,1650681105
222,sorland,67.667,12.6934,40.21,70,53,13.29,NO,1650681106
223,acajutla,13.5928,-89.8275,81.3,74,100,4.0,SV,1650681106
224,prescott,34.54,-112.4685,52.05,35,20,10.36,US,1650680944
225,abay,49.6311,72.8539,32.38,47,6,11.45,KZ,1650681106
226,north bend,43.4065,-124.2243,57.92,82,0,6.91,US,1650681107
227,zhangye,38.9342,100.4517,65.35,11,98,10.94,CN,1650681107
228,bredasdorp,-34.5322,20.0403,53.67,71,0,5.28,ZA,1650681107
229,olafsvik,64.8945,-23.7142,44.62,87,51,8.34,IS,1650681108
230,enid,36.3956,-97.8784,77.16,61,100,24.16,US,1650681108
231,kamarion,36.8,25.8167,60.75,81,100,12.12,GR,1650681108
232,dicabisagan,17.0818,122.4157,86.07,60,33,5.86,PH,1650681109
233,miastko,54.0028,16.9826,40.12,81,0,5.39,PL,1650681109
234,sioux lookout,50.1001,-91.917,32.07,100,100,8.05,CA,1650680992
235,miyazu,35.5333,135.1833,64.6,73,100,12.01,JP,1650681110
236,lagoa,39.05,-27.9833,56.91,72,84,15.99,PT,1650681110
237,laguna,38.421,-121.4238,66.18,49,0,8.05,US,1650681066
238,gusinoye ozero,51.1144,106.2614,44.53,50,81,17.05,RU,1650681110
239,bengkulu,-3.8004,102.2655,84.92,66,72,5.19,ID,1650681090
240,columbus,39.9612,-82.9988,64.92,54,75,6.91,US,1650680841
241,baruun-urt,46.6806,113.2792,50.45,26,100,18.9,MN,1650681111
242,kutum,14.2,24.6667,73.35,16,90,5.7,SD,1650681111
243,la palma,33.8464,-118.0467,65.28,68,0,13.8,US,1650681112
244,arraial do cabo,-22.9661,-42.0278,75.97,87,0,8.23,BR,1650681112
245,chalmette,29.9427,-89.9634,72.0,77,0,10.36,US,1650681113
246,anahuac,27.2333,-100.15,81.75,45,0,30.38,MX,1650680965
247,grand-santi,4.25,-54.3833,71.87,100,100,1.59,GF,1650680959
248,aransas pass,27.9095,-97.15,75.97,89,40,16.11,US,1650681113
249,arlit,18.7369,7.3853,82.11,12,8,7.4,NE,1650681114
250,axim,4.8699,-2.2405,79.56,86,25,6.51,GH,1650681114
251,cruz alta,-28.6386,-53.6064,61.07,96,100,4.94,BR,1650681114
252,rangapara,26.8167,92.65,75.47,83,81,7.16,IN,1650681115
253,pucara,-15.9803,-71.4606,30.33,44,26,1.72,PE,1650681115
254,elat,29.5581,34.9482,71.44,49,88,6.91,IL,1650681115
255,valparaiso,-33.0393,-71.6273,61.48,73,0,4.61,CL,1650680953
256,carnarvon,-24.8667,113.6333,82.47,32,0,10.36,AU,1650681116
257,tiksi,71.6872,128.8694,14.65,88,100,10.2,RU,1650681116
258,alekseyevsk,57.8406,108.3492,38.66,48,8,3.53,RU,1650681117
259,hasaki,35.7333,140.8333,73.29,69,100,1.63,JP,1650681117
260,maun,-19.9833,23.4167,58.96,100,0,3.44,BW,1650680986
261,muisne,0.6,-80.0333,77.22,82,100,5.79,EC,1650681118
262,ornskoldsvik,63.2909,18.7153,40.15,65,100,5.75,SE,1650681118
263,pindobacu,-10.7417,-40.3608,69.1,97,19,3.89,BR,1650681118
264,namie,37.4833,141.0,72.99,48,100,3.0,JP,1650681118
265,bowen,-20.0167,148.2333,77.0,81,100,21.52,AU,1650681119
266,castro,-24.7911,-50.0119,59.43,90,1,5.06,BR,1650681119
267,srivardhan,18.0333,73.0167,87.37,66,58,3.56,IN,1650681120
268,denizli,37.8402,29.0698,60.12,57,65,2.26,TR,1650681120
269,tacuarembo,-31.7333,-55.9833,50.34,95,35,8.16,UY,1650681120
270,sarangani,5.4033,125.4636,79.25,85,100,14.94,PH,1650681121
271,lyngseidet,69.5763,20.2189,35.6,86,70,4.61,NO,1650681121
272,sao raimundo das mangabeiras,-7.0219,-45.4811,74.98,78,23,3.2,BR,1650681122
273,masterton,-40.9597,175.6575,60.89,46,53,4.76,NZ,1650681122
274,kollam,8.8833,76.6,81.77,79,100,4.27,IN,1650681083
275,garowe,8.4054,48.4845,75.51,81,32,8.66,SO,1650681122
276,edson,53.5835,-116.4356,46.51,53,75,6.91,CA,1650681123
277,sainte-claire,46.6006,-70.8649,37.72,82,8,6.08,CA,1650681123
278,omsukchan,62.5333,155.8,22.86,72,99,4.27,RU,1650681124
279,emba,48.8264,58.1442,51.51,76,81,8.9,KZ,1650681124
280,husavik,66.0449,-17.3389,42.21,79,41,6.58,IS,1650681124
281,gat,31.61,34.7642,63.28,100,56,5.1,IL,1650681125
282,natal,-5.795,-35.2094,79.02,94,75,3.44,BR,1650680950
283,polyarnyy,69.1989,33.4478,34.74,98,100,10.18,RU,1650681125
284,sitka,57.0531,-135.33,48.09,66,100,12.66,US,1650681126
285,pochutla,15.7432,-96.4661,80.82,73,55,6.29,MX,1650681126
286,lloydminster,53.2835,-110.0016,35.82,75,75,2.3,CA,1650680990
287,altay,47.8667,88.1167,41.47,56,100,4.05,CN,1650681126
288,banikoara,11.2985,2.4386,83.52,42,24,4.23,BJ,1650681127
289,ayan,56.45,138.1667,29.05,84,90,2.68,RU,1650681127
290,muli,2.9167,73.5667,81.46,77,100,11.52,MV,1650681128
291,sile,41.1754,29.6133,65.07,73,100,1.01,TR,1650681128
292,marsa matruh,31.3525,27.2453,52.0,93,0,0.0,EG,1650681128
293,san cristobal,7.7669,-72.225,69.98,92,40,2.66,VE,1650681129
294,gavle,60.6745,17.1417,39.92,63,74,4.0,SE,1650681129
295,starogard gdanski,53.964,18.5264,37.58,100,7,7.43,PL,1650681130
296,hamilton,39.1834,-84.5333,66.88,66,0,0.0,US,1650681091
297,prado,-17.3411,-39.2208,76.33,80,31,7.83,BR,1650681130
298,dunedin,-45.8742,170.5036,60.8,58,5,3.0,NZ,1650680842
299,kamenka,51.3223,42.7678,42.19,92,47,7.34,RU,1650681131
300,murupara,-38.4667,176.7,63.41,36,35,2.57,NZ,1650681131
301,thap than,15.4606,99.8917,92.71,47,19,5.17,TH,1650681131
302,maniitsoq,65.4167,-52.9,30.45,94,100,3.85,GL,1650681132
303,tateyama,34.9833,139.8667,68.09,73,100,19.53,JP,1650681132
304,bors,47.1167,21.8167,54.37,94,75,10.36,RO,1650681133
305,mapiri,-15.25,-68.1667,71.58,92,85,0.38,BO,1650681133
306,petropavlovsk-kamchatskiy,53.0452,158.6483,39.79,70,75,11.18,RU,1650681133
307,san rafael,-34.6177,-68.3301,54.07,72,3,8.55,AR,1650681134
308,xianyang,34.3378,108.7026,67.24,39,0,6.71,CN,1650681134
309,barcelos,41.5388,-8.6151,46.85,90,100,1.32,PT,1650681134
310,cabra,37.4725,-4.4421,46.45,84,100,17.65,ES,1650681135
311,boueni,-12.9025,45.0761,80.58,77,100,13.71,YT,1650681135
312,leirvik,59.7798,5.5005,51.85,74,8,6.42,NO,1650681136
313,yingcheng,30.95,113.55,71.35,77,99,5.75,CN,1650681136
314,mayo,38.8876,-76.5119,62.55,66,0,4.61,US,1650681136
315,basco,20.4487,121.9702,81.28,75,25,17.11,PH,1650681137
316,cachoeira do sul,-30.0392,-52.8939,64.09,97,100,6.38,BR,1650681137
317,srandakan,-7.9386,110.2506,85.77,66,73,3.47,ID,1650681138
318,flin flon,54.7682,-101.865,33.69,95,100,4.56,CA,1650681138
319,kununurra,-15.7667,128.7333,91.38,25,9,13.8,AU,1650681138
320,winneba,5.3511,-0.6231,79.25,84,6,4.14,GH,1650681139
